reconstruction_error,true_class,predict_softmax,prob
0.049031545319461294,0,0,0.9997781
0.050466271990268555,0,0,0.9997633
0.00029033151754150565,1,1,0.9992773
0.01012850794135984,0,1,0.9872507
0.021036429681664488,0,1,0.98525226
0.0008436197647413169,1,1,0.99988055
0.06303961138379323,1,1,0.97744286
0.059281761674381664,0,1,0.9915559
0.0008391989780376484,1,1,0.99994063
0.0007988348254565673,0,1,0.99990916
0.018930931898103773,0,1,0.9988034
0.00015646575429292828,1,1,0.99993896
0.04886302786797254,0,0,0.9997676
0.03835775129393933,0,0,0.99953675
0.008329943768546533,1,1,0.5491151
0.0008392525505803138,1,1,0.9999393
0.0008392014038058455,1,1,0.99994063
0.0008392242766627959,1,1,0.99994016
0.0014123966026313541,1,1,0.99992394
0.04650769182245814,0,0,0.9997912
0.09559948852265683,0,0,0.9999367
0.044028463985504786,0,0,0.9999225
0.0008392207686445513,1,1,0.9999403
0.0008392197342501777,1,1,0.9999403
0.17103585653814277,0,0,0.99994016
0.10790060424944994,0,0,0.9999416
0.0008393113740945741,1,1,0.9999343
0.0008391975364545905,1,1,0.99994063
0.011032086897874875,0,0,0.8786297
0.0014123948681381618,1,1,0.99992394
0.012851506882045153,0,0,0.9998945
0.0001873928387152024,1,1,0.99994004
0.0009444262681243469,1,1,0.9998356
0.03968057874556407,1,0,0.99991703
0.40041066400561,0,0,0.99994135
0.2362265004514281,0,0,0.99994266
0.0008394920636426893,1,1,0.99989283
0.0008455866572028491,0,1,0.99990606
0.0009670448836727555,1,1,0.9999422
0.0002072947223096243,1,1,0.998676
0.06252610567473822,0,0,0.99991775
0.0008392798175311313,1,1,0.9999378
0.0008777477154625181,1,1,0.99993956
0.0008392455219387797,1,1,0.9999397
0.08822741498783793,0,0,0.99993837
0.0008392454616598122,1,1,0.9999397
0.14553904134659146,0,0,0.99994206
0.000557984442392056,0,0,0.99990976
0.023105946957619878,0,0,0.9998678
0.0014123983026758714,1,1,0.99992394
0.0010238042679994357,1,1,0.999928
0.0002642841975487312,1,1,0.99993813
0.08749467636279464,0,0,0.9999393
0.04793659135420815,0,0,0.99975735
0.0014999394679378354,0,1,0.5649664
0.0008391996246880748,1,1,0.99994063
0.05151406947056149,0,0,0.9998908
0.0024438850641089476,0,1,0.98984796
0.04664212535746178,0,1,0.94493365
0.0008391973138628492,1,1,0.99994063
0.04558551669419887,0,1,0.99992204
0.0014766230779151269,0,1,0.9294002
0.002515509699001853,1,1,0.99993694
0.0008393689592092307,1,1,0.99992406
0.36245805852081087,0,0,0.99994147
0.0008392008025752336,1,1,0.99994063
0.2238137863831117,0,0,0.9999416
0.0475641681045455,0,0,0.9998117
0.030566550463905343,0,0,0.99984384
0.000839201535466282,1,1,0.99994063
0.048506508287931606,0,0,0.99979013
0.00013693431464245317,1,1,0.9999399
0.0008391984247762797,1,1,0.99994063
0.0007384206073279368,1,1,0.99994004
0.07222227975280403,0,0,0.99994266
0.0008391980274408354,1,1,0.99994063
0.0008392552929389976,1,1,0.9999392
0.007556483901815631,0,1,0.99942744
0.0008392116346261786,1,1,0.9999404
0.0008391960771480132,1,1,0.99994063
0.048138926647824154,0,0,0.9997899
0.04838332135417847,0,0,0.9997665
0.01086678045798914,0,0,0.8865086
0.0006451638580765214,1,1,0.9999399
0.000839206595179314,1,1,0.9999405
0.0008392090196578657,1,1,0.9999405
0.04803009295421907,0,0,0.9395021
0.23305946499539137,0,0,0.9999409
0.000839419154794686,1,1,0.9999107
0.0003474924838570054,1,1,0.99901104
0.000839205206288268,1,1,0.9999405
0.0008392369302350529,1,1,0.9999399
0.04941247647174173,0,0,0.99978095
0.015080772455390442,0,1,0.9982821
0.04258477623830878,0,1,0.99992335
0.0003501998932833514,1,1,0.99992883
0.0008392705099837495,1,1,0.99993837
0.0008775805187588929,1,1,0.9999422
0.2353483562753225,0,0,0.99994266
0.12088564218711147,0,0,0.99994266
0.37455274273320893,0,0,0.9999418
0.004325248193562522,0,1,0.9990362
0.04838332135417847,0,0,0.9997665
0.04472182420386425,0,0,0.99978656
0.00016034475143569555,1,1,0.99993944
0.04749550551103455,0,0,0.9997793
0.004562572102853329,0,1,0.9919661
9.935041133816095e-05,1,1,0.9999355
0.04802917596192567,0,0,0.9997876
0.0008392042838185113,1,1,0.99994063
0.0009235077299232208,1,1,0.999828
0.04701398689547557,0,0,0.999793
0.007810010377472379,0,1,0.99945277
0.0067367786596636905,0,1,0.99939156
0.0008391950517334127,1,1,0.99994063
0.060346729546904586,0,0,0.99991465
0.0008391966845878553,1,1,0.99994063
0.011985238597835244,0,0,0.9916528
0.0699306258078304,0,0,0.99993825
0.0013864319788222158,0,1,0.9999242
0.0008391960598052433,1,1,0.99994063
0.012606521267609036,0,0,0.99965286
0.23482285468615754,0,0,0.99994266
0.049277310188565834,0,0,0.9998117
0.0030517837840489527,1,1,0.99235314
0.001053665393831287,1,1,0.9999422
0.05936728268224451,0,1,0.99109346
0.049392542283058304,0,0,0.9997788
0.000839200751878851,1,1,0.99994063
0.00028386156475704327,1,1,0.9999424
0.0010095556719510435,1,1,0.99994206
0.0008392992738721789,1,1,0.999936
0.02861712406082958,0,1,0.99951565
0.0008392606115976921,1,1,0.99993896
0.03060855778641331,0,1,0.9309928
0.0008391960440957278,1,1,0.99994063
0.04773976965660224,0,0,0.9998016
0.0013864305137579862,0,1,0.9999242
0.10275830799202815,0,0,0.9999423
0.0008391953821454,1,1,0.99994063
0.0007878835309069604,1,1,0.99994004
0.0008321452977988898,1,1,0.9999422
0.049311401468378396,0,0,0.9997663
0.0482400999663053,0,0,0.99977154
0.012919605517823403,0,0,0.9999119
0.011165635131396474,0,1,0.98583823
0.022901565495105507,0,0,0.99986255
0.04917431014651687,0,0,0.99978167
0.0008393703526245772,1,1,0.99992394
0.036546335896963544,0,1,0.60999966
0.06846556463170607,0,1,0.74860096
0.0628127314617774,0,0,0.9999193
0.18142807103558425,0,0,0.9999232
0.00027737723932880215,0,1,0.9999361
0.0008392014282093959,1,1,0.99994063
0.04906713446633019,0,0,0.9997842
0.09790548594671841,0,0,0.9998406
0.08861369560216598,0,0,0.9999385
0.1407597513907478,0,0,0.99993587
0.06193398307968001,0,0,0.99991715
0.05026152748955274,0,0,0.9997646
0.14421673169932067,0,0,0.9999422
0.3798396258626592,0,0,0.9999416
0.04400203533390351,0,0,0.99984527
0.008564105023700913,0,0,0.6255129
0.05309831411749672,0,0,0.9999374
0.0631140755922957,0,0,0.9999199
0.0013998677183336228,0,1,0.9358296
0.0008393647535099664,1,1,0.9999248
0.05665634553906659,0,0,0.9999213
0.03544957844603408,0,1,0.9766583
0.0008441373926722665,1,1,0.99940467
0.04904673775746069,0,0,0.9997527
0.04864554297992813,0,0,0.9997769
0.012918665621922055,0,0,0.9999149
0.0008392028799758226,1,1,0.99994063
0.40065273979794164,0,0,0.99994123
0.3798396258626592,0,0,0.9999416
