 src_bytes, service, dst_bytes, diff_srv_rate, flag, same_srv_rate, dst_host_srv_count, dst_host_same_srv_rate, dst_host_diff_srv_rate, dst_host_serror_rate, classification.
0,private,0,0.06,REJ,0.04,10,0.04,0.06,0.0,Anormal
0,private,0,0.06,REJ,0.01,1,0.0,0.06,0.0,Anormal
12983,ftp_data,0,0.0,SF,1.0,86,0.61,0.04,0.0,normal
20,eco_i,0,0.0,SF,1.0,57,1.0,0.0,0.0,Anormal
0,telnet,15,0.0,RSTO,1.0,86,0.31,0.17,0.0,Anormal
267,http,14515,0.0,SF,1.0,255,1.0,0.0,0.01,normal
1022,smtp,387,0.0,SF,1.0,28,0.11,0.72,0.0,normal
129,telnet,174,0.0,SF,1.0,255,1.0,0.0,0.01,Anormal
327,http,467,0.0,SF,1.0,255,1.0,0.0,0.0,normal
26,ftp,157,0.0,SF,1.0,26,0.5,0.08,0.0,Anormal
0,telnet,0,0.0,SF,1.0,128,0.5,0.01,0.0,Anormal
616,smtp,330,0.0,SF,1.0,129,0.51,0.03,0.0,normal
0,private,0,0.07,REJ,0.02,2,0.01,0.07,0.0,Anormal
0,telnet,0,0.0,S0,1.0,171,0.73,0.07,0.69,Anormal
773,telnet,364200,0.0,SF,1.0,73,0.16,0.05,0.0,normal
350,http,3610,0.0,SF,1.0,255,1.0,0.0,0.0,normal
213,http,659,0.0,SF,1.0,255,1.0,0.0,0.0,normal
246,http,2090,0.0,SF,1.0,255,1.0,0.0,0.0,normal
45,private,44,0.0,SF,1.0,255,1.0,0.0,0.0,normal
0,private,0,0.07,REJ,0.09,18,0.07,0.07,0.0,Anormal
0,ldap,0,0.05,REJ,0.16,19,0.07,0.05,0.0,Anormal
0,pop_3,0,0.0,S0,1.0,87,0.34,0.01,1.0,Anormal
196,http,1823,0.0,SF,1.0,255,1.0,0.0,0.0,normal
277,http,1816,0.0,SF,1.0,255,1.0,0.0,0.0,normal
0,courier,0,0.07,REJ,0.07,8,0.03,0.06,0.0,Anormal
0,discard,0,0.06,RSTO,0.05,13,0.05,0.06,0.0,Anormal
294,http,6442,0.0,SF,1.0,255,1.0,0.0,0.0,normal
300,http,440,0.0,SF,1.0,255,1.0,0.0,0.0,normal
520,ecr_i,0,0.0,SF,1.0,59,1.0,0.0,0.0,Anormal
54,private,51,0.0,SF,1.0,255,1.0,0.0,0.0,normal
76944,http,1,0.0,RSTR,1.0,238,0.99,0.01,0.0,Anormal
720,smtp,281,0.0,SF,1.0,82,0.52,0.06,0.01,normal
301,http,19794,0.0,SF,1.0,255,1.0,0.0,0.05,normal
1,private,1,0.38,SF,0.08,3,0.01,0.58,0.0,normal
0,private,0,1.0,REJ,0.0,1,0.0,1.0,0.0,Anormal
0,imap4,44,1.0,RSTO,0.5,59,0.24,0.03,0.01,Anormal
209,http,12894,0.0,SF,1.0,255,1.0,0.0,0.0,normal
220,ftp,688,0.0,SF,1.0,27,0.51,0.08,0.0,Anormal
