 src_bytes, service, dst_bytes, diff_srv_rate, flag, same_srv_rate, dst_host_srv_count, dst_host_same_srv_rate, dst_host_diff_srv_rate, dst_host_serror_rate, classification.
118,telnet,2425,0.0,SF,1.0,10,0.38,0.12,0.0,Anormal
44,private,0,0.5,SF,0.75,254,1.0,0.01,0.0,Anormal
0,telnet,44,0.0,S3,1.0,79,0.31,0.61,0.21,Anormal
53,private,55,0.0,SF,1.0,255,1.0,0.0,0.0,normal
0,private,0,0.0,SH,1.0,1,0.06,1.0,1.0,Anormal
54540,http,8314,0.0,SF,1.0,229,0.9,0.01,0.0,Anormal
0,imap4,0,0.06,REJ,0.04,9,0.04,0.07,0.0,Anormal
0,telnet,44,0.0,SF,1.0,165,0.65,0.33,0.49,Anormal
56,private,52,0.0,SF,1.0,255,1.0,0.0,0.0,normal
192,ftp_data,0,0.0,SF,1.0,51,0.09,0.04,0.0,normal
0,other,0,1.0,REJ,0.0,1,0.0,0.94,0.13,Anormal
0,other,0,1.0,REJ,0.0,1,0.0,1.0,0.07,Anormal
21,telnet,97,0.75,SF,0.5,40,0.16,0.02,0.0,Anormal
45,private,0,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
0,telnet,44,0.0,S3,1.0,115,0.45,0.02,0.53,Anormal
0,imap4,0,1.0,REJ,0.5,59,0.25,0.08,0.0,Anormal
0,http,0,0.0,S0,1.0,255,1.0,0.0,0.76,Anormal
0,ctf,0,0.09,S0,0.09,15,0.06,0.09,1.0,Anormal
0,telnet,44,0.0,S3,1.0,146,0.57,0.02,0.53,Anormal
1,private,1,0.96,SF,0.01,1,0.0,0.69,0.0,Anormal
0,telnet,44,0.0,S3,1.0,158,0.62,0.02,0.55,Anormal
1,other,1,1.0,SF,0.0,1,0.0,1.0,0.0,Anormal
240,other,619,0.0,SF,1.0,11,0.17,0.08,0.0,Anormal
27,pop_3,93,0.0,SF,1.0,214,0.84,0.02,0.0,Anormal
0,http,0,0.0,S0,1.0,255,1.0,0.0,0.62,Anormal
42,private,0,0.0,SF,1.0,252,0.99,0.01,0.0,Anormal
54540,http,8314,0.0,SF,1.0,255,1.0,0.0,0.01,Anormal
156,ftp,593,0.0,SF,1.0,46,0.55,0.05,0.0,Anormal
43,domain_u,43,0.0,SF,1.0,239,0.94,0.01,0.0,normal
0,domain,0,0.07,REJ,0.02,6,0.02,0.07,0.0,Anormal
8,eco_i,0,0.0,SF,1.0,48,1.0,0.0,0.0,Anormal
32,pop_3,93,0.0,SF,1.0,16,1.0,0.0,0.0,Anormal
44,domain_u,44,0.0,SF,1.0,255,1.0,0.0,0.0,normal
105,private,146,0.0,SF,1.0,137,0.99,0.01,0.0,normal
1032,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
16787,ftp_data,0,0.0,SF,1.0,19,0.07,0.02,0.0,normal
0,finger,0,0.29,S0,0.29,63,0.25,0.02,0.98,Anormal
0,telnet,44,0.0,SF,1.0,112,0.44,0.02,0.53,Anormal
0,ctf,0,0.06,REJ,0.02,5,0.02,0.07,0.0,Anormal
0,name,0,0.09,S0,0.09,17,0.07,0.08,1.0,Anormal
0,smtp,83,0.0,SF,1.0,192,0.76,0.04,0.0,normal
54540,http,8314,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
520,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
45,domain_u,81,0.0,SF,1.0,254,1.0,0.01,0.0,normal
0,vmnet,0,0.06,REJ,0.05,13,0.05,0.06,0.0,Anormal
0,mtp,0,0.06,S0,0.03,8,0.03,0.06,1.0,Anormal
0,bgp,0,0.07,REJ,0.07,17,0.07,0.07,0.0,Anormal
44,private,0,0.0,SF,1.0,254,1.0,0.01,0.0,Anormal
0,imap4,0,0.0,S0,1.0,86,0.33,0.05,1.0,Anormal
0,other,0,1.0,REJ,0.0,1,0.0,1.0,0.03,Anormal
1032,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
30,pop_3,93,0.0,SF,1.0,232,0.91,0.02,0.0,Anormal
1,private,1,0.63,SF,0.05,1,0.0,0.66,0.0,Anormal
54540,http,8314,0.0,SF,1.0,238,0.93,0.01,0.0,Anormal
2194619,ftp_data,0,0.0,SF,1.0,125,0.49,0.02,0.0,normal
0,pop_3,36,1.0,RSTO,0.33,51,0.25,0.05,0.0,Anormal
1008,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
1008,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
124,telnet,174,0.0,SF,1.0,34,0.13,0.02,0.0,Anormal
35,pop_3,130,0.0,SF,1.0,4,0.03,0.03,0.0,normal
43,private,0,0.0,SF,1.0,253,0.99,0.01,0.0,Anormal
20,eco_i,0,0.0,SF,1.0,70,1.0,0.0,0.0,Anormal
54540,http,8314,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
45,domain_u,114,0.0,SF,1.0,233,0.91,0.01,0.0,normal
7,finger,225,0.0,SF,1.0,12,1.0,0.0,0.0,normal
0,telnet,0,0.0,S0,1.0,99,0.89,0.02,0.89,Anormal
52,private,53,0.0,SF,1.0,255,1.0,0.0,0.0,normal
0,other,0,1.0,REJ,0.0,1,0.0,0.94,0.13,Anormal
0,telnet,15,0.0,RSTO,1.0,88,0.31,0.03,0.0,Anormal
2599,smtp,293,0.0,SF,1.0,66,0.26,0.14,0.0,Anormal
156,ftp,593,0.0,SF,1.0,3,0.01,0.02,0.33,Anormal
120,telnet,174,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
1008,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
45,domain_u,138,0.02,SF,0.99,254,1.0,0.01,0.0,normal
0,other,0,0.0,REJ,1.0,18,0.07,0.02,0.0,Anormal
0,exec,0,0.06,RSTO,0.07,8,0.03,0.05,0.0,Anormal
0,sunrpc,0,1.0,REJ,0.33,44,0.17,0.02,0.0,Anormal
0,uucp_path,0,0.07,REJ,0.0,1,0.0,0.08,0.0,Anormal
0,iso_tsap,0,0.06,S0,0.02,6,0.02,0.06,1.0,Anormal
1032,ecr_i,0,0.0,SF,1.0,255,1.0,0.0,0.0,Anormal
37960,http,7300,0.0,RSTR,1.0,255,1.0,0.0,0.0,Anormal
1,private,0,0.09,SF,0.91,21,0.08,0.58,0.01,normal
283618,ftp_data,0,0.0,SF,1.0,28,1.0,0.0,0.0,Anormal
54540,http,8314,0.0,SF,1.0,255,1.0,0.0,0.01,Anormal
229,http,489,0.0,SF,1.0,177,1.0,0.0,0.01,normal
56,private,57,0.0,SF,1.0,255,1.0,0.0,0.0,normal
240,other,622,0.0,SF,1.0,28,0.11,0.02,0.0,Anormal
0,imap4,44,1.0,RSTO,0.5,60,0.25,0.03,0.03,Anormal
28,private,0,0.0,SF,1.0,44,0.69,0.05,0.0,Anormal
